,month,day,day_of_week,binned_dep,binned_arr,binned_distance,carrier_encoded
29701,1,2,3,5,5,1,0
30810,1,2,3,6,7,1,0
31426,1,2,3,5,7,2,0
124748,1,6,0,6,7,1,8
81613,1,4,5,7,7,2,3
94708,1,5,6,5,6,1,3
52148,1,3,4,5,5,1,1
100744,1,5,6,7,8,1,9
113165,1,6,0,7,8,1,3
52615,1,3,4,7,7,1,0
148336,1,7,1,5,5,1,0
34391,1,2,3,6,6,1,9
16422,1,1,2,3,6,2,1
116310,1,6,0,8,1,1,1
58343,1,3,4,8,8,1,9
20613,1,2,3,5,7,2,2
85730,1,5,6,3,4,1,1
94353,1,5,6,5,7,2,3
136290,1,7,1,4,5,1,3
27286,1,2,3,3,3,1,8
121441,1,6,0,2,3,1,0
55564,1,3,4,8,2,2,3
96158,1,5,6,7,7,1,3
60427,1,3,4,3,3,1,0
28862,1,2,3,5,5,1,0
129637,1,6,0,3,4,1,3
46419,1,3,4,3,4,1,8
117,1,1,2,4,5,1,9
58525,1,3,4,2,3,1,9
21350,1,2,3,5,6,1,1
120925,1,6,0,6,6,1,9
26379,1,2,3,2,3,1,9
12621,1,1,2,7,7,1,0
42578,1,3,4,5,6,1,8
100714,1,5,6,8,1,1,9
42978,1,3,4,5,6,1,0
83784,1,4,5,5,5,1,8
8256,1,1,2,6,7,2,3
132068,1,7,1,4,5,1,9
15539,1,1,2,4,5,2,2
79450,1,4,5,8,8,1,2
36846,1,2,3,6,8,2,0
129788,1,7,1,5,6,1,9
25716,1,2,3,3,4,1,8
147832,1,7,1,2,3,1,0
52386,1,3,4,7,8,2,1
110667,1,6,0,7,8,1,0
6396,1,1,2,3,4,1,0
36952,1,2,3,4,5,2,0
74766,1,4,5,7,8,1,0
23177,1,2,3,2,4,2,3
47297,1,3,4,5,6,2,8
46297,1,3,4,3,4,1,8
35907,1,2,3,6,6,1,6
94539,1,5,6,8,1,1,3
115157,1,6,0,6,7,1,0
74315,1,4,5,6,7,1,8
21503,1,2,3,3,3,1,1
51462,1,3,4,5,6,2,2
116983,1,6,0,4,5,1,0
15881,1,1,2,4,4,1,0
47466,1,3,4,3,4,1,8
62097,1,3,4,5,6,1,0
126614,1,6,0,1,3,2,2
59407,1,3,4,3,4,1,0
43362,1,3,4,6,7,1,1
87413,1,5,6,6,6,1,0
104758,1,5,6,4,4,1,0
17848,1,1,2,5,7,2,3
102252,1,5,6,5,6,1,9
56127,1,3,4,3,4,1,8
129748,1,7,1,4,5,1,9
40166,1,2,3,3,3,1,8
11321,1,1,2,5,6,1,9
1874,1,1,2,3,3,1,0
106841,1,5,6,5,5,1,3
110117,1,6,0,7,8,1,0
18104,1,1,2,3,3,1,8
35962,1,2,3,7,7,1,6
104392,1,5,6,7,8,1,1
33774,1,2,3,5,5,1,9
51144,1,3,4,6,6,1,0
20890,1,2,3,7,8,2,1
52013,1,3,4,7,8,2,1
83922,1,4,5,5,5,1,8
115576,1,6,0,7,1,1,2
38279,1,2,3,6,7,1,3
145442,1,7,1,5,6,1,8
10813,1,1,2,7,8,1,9
136876,1,7,1,6,7,1,3
98174,1,5,6,3,4,1,0
49850,1,3,4,5,6,1,9
131059,1,7,1,6,6,1,9
148896,1,7,1,6,6,1,3
50032,1,3,4,6,6,1,9
61225,1,3,4,8,3,2,7
118682,1,6,0,8,8,1,3
112059,1,6,0,7,8,2,3
98080,1,5,6,4,5,1,0
79573,1,4,5,3,4,1,2
31666,1,2,3,4,5,1,0
66149,1,4,5,4,6,2,0
9998,1,1,2,7,8,1,8
100116,1,5,6,7,8,1,9
118293,1,6,0,5,5,1,3
58430,1,3,4,7,7,1,9
15070,1,1,2,3,4,1,5
6315,1,1,2,5,6,1,0
62452,1,3,4,2,3,1,2
39578,1,2,3,5,6,1,8
7047,1,1,2,6,7,1,0
112412,1,6,0,7,8,2,3
136324,1,7,1,3,4,2,3
51002,1,3,4,3,3,1,5
9770,1,1,2,7,8,1,8
61214,1,3,4,4,5,1,7
73260,1,4,5,3,3,1,9
99896,1,5,6,8,1,1,9
48026,1,3,4,5,6,1,8
32625,1,2,3,5,6,1,8
1059,1,1,2,6,7,1,9
145632,1,7,1,5,5,1,8
75184,1,4,5,6,8,2,6
63284,1,3,4,8,2,2,0
69421,1,4,5,8,8,1,8
14617,1,1,2,4,4,2,4
83632,1,4,5,3,4,1,8
99416,1,5,6,4,5,1,8
52612,1,3,4,4,4,1,0
57887,1,3,4,4,5,1,9
133695,1,7,1,3,3,1,0
131245,1,7,1,6,7,1,9
71226,1,4,5,7,8,1,0
21623,1,2,3,6,7,1,1
56288,1,3,4,6,7,1,8
65892,1,4,5,4,5,2,0
141447,1,7,1,3,3,1,8
49193,1,3,4,3,4,1,9
100140,1,5,6,4,5,2,9
1450,1,1,2,6,7,1,8
91720,1,5,6,6,7,2,2
65100,1,4,5,2,2,1,6
116329,1,6,0,7,8,2,1
4874,1,1,2,5,5,1,8
949,1,1,2,8,8,1,9
136833,1,7,1,5,6,1,3
144518,1,7,1,8,1,1,4
101329,1,5,6,7,1,1,9
128299,1,6,0,3,5,2,3
30687,1,2,3,7,7,1,0
117539,1,6,0,2,3,1,0
51835,1,3,4,6,7,2,1
12714,1,1,2,5,6,1,0
31899,1,2,3,5,5,1,0
123109,1,6,0,7,7,1,7
60954,1,3,4,3,4,1,0
130623,1,7,1,5,6,1,9
146672,1,7,1,5,6,1,2
12104,1,1,2,5,6,2,9
143292,1,7,1,7,8,1,2
92838,1,5,6,4,5,2,4
43409,1,3,4,2,3,1,1
18728,1,1,2,2,3,1,8
49963,1,3,4,4,5,1,9
65060,1,4,5,5,6,1,8
88866,1,5,6,5,6,1,8
48748,1,3,4,3,4,1,3
97765,1,5,6,4,5,2,0
103825,1,5,6,6,6,1,6
41996,1,2,3,5,6,1,3
50614,1,3,4,3,3,1,9
124164,1,6,0,2,4,2,8
144043,1,7,1,3,3,1,0
131503,1,7,1,8,8,1,9
121620,1,6,0,5,6,1,0
94544,1,5,6,5,6,2,3
61519,1,3,4,7,8,1,8
49289,1,3,4,4,5,1,9
32180,1,2,3,3,3,1,7
119859,1,6,0,4,5,1,8
127601,1,6,0,7,7,2,4
6059,1,1,2,3,4,1,3
6422,1,1,2,4,5,1,0
148219,1,7,1,2,3,1,0
23330,1,2,3,5,6,2,3
50706,1,3,4,5,6,1,5
83319,1,4,5,4,4,1,8
9732,1,1,2,5,5,1,8
32489,1,2,3,6,7,2,7
28102,1,2,3,4,5,2,2
73610,1,4,5,6,7,1,9
90830,1,5,6,3,4,1,8
15394,1,1,2,5,6,1,2
96181,1,5,6,6,7,1,3
20552,1,2,3,3,4,1,2
15613,1,1,2,4,4,1,2
15666,1,1,2,4,4,2,2
57787,1,3,4,7,7,1,9
98807,1,5,6,4,6,2,8
121386,1,6,0,4,5,1,8
117651,1,6,0,6,7,1,0
41479,1,2,3,3,4,1,8
46725,1,3,4,4,5,1,8
39784,1,2,3,4,5,1,8
81260,1,4,5,3,3,1,0
92567,1,5,6,4,5,1,0
133660,1,7,1,7,7,1,0
83145,1,4,5,5,5,1,8
58463,1,3,4,3,4,1,9
108178,1,6,0,4,4,1,9
50753,1,3,4,3,5,2,5
13678,1,1,2,5,8,2,0
100670,1,5,6,4,6,1,9
99454,1,5,6,7,1,1,8
142644,1,7,1,4,4,1,8
114787,1,6,0,7,7,1,5
109303,1,6,0,6,8,2,9
35684,1,2,3,7,8,1,8
72092,1,4,5,3,4,1,7
144076,1,7,1,7,8,1,0
136625,1,7,1,3,3,1,3
63522,1,3,4,3,3,1,0
87045,1,5,6,6,7,2,0
72214,1,4,5,3,5,2,8
108389,1,6,0,4,5,1,9
13550,1,1,2,6,7,1,1
85063,1,5,6,3,3,1,0
55534,1,3,4,7,7,1,3
83528,1,4,5,7,8,1,8
63782,1,3,4,3,5,2,4
65508,1,4,5,4,5,1,1
107307,1,6,0,5,6,1,9
21303,1,2,3,6,8,2,1
35901,1,2,3,6,6,1,6
121092,1,6,0,5,5,1,9
133322,1,7,1,7,7,1,8
140563,1,7,1,3,3,1,8
64189,1,3,4,7,8,1,0
83476,1,4,5,3,4,1,8
127246,1,6,0,6,7,1,0
15450,1,1,2,3,4,2,2
85881,1,5,6,7,8,2,1
107823,1,6,0,5,5,1,9
137140,1,7,1,6,7,1,3
122132,1,6,0,3,3,1,0
57807,1,3,4,3,5,2,9
101816,1,5,6,3,3,1,9
